Tweets Ago,Account,Date,Positive,Neutral,Negative,Compound,Text
1,BBCWorld,Thu Mar 15 15:22:00 +0000 2018,0.214,0.087,0.699,0.4417,"""It certainly looks like the Russians were behind it... we're taking it very seriously"" - US President Donald Trump… https://t.co/hQgFwiq6BH"
2,BBCWorld,Thu Mar 15 15:12:36 +0000 2018,0.128,0.0,0.872,0.3612,"RT @BBCJonSopel: .@realDonaldTrump comments on #SalisburyChemicalAttack and says ""looks like the Russians were behind it. Something that sh…"
3,BBCWorld,Thu Mar 15 14:59:05 +0000 2018,0.0,0.128,0.872,-0.296,RT @BBCBreaking: US places sanctions on Russians accused of meddling in the 2016 presidential election https://t.co/0B7WVKRmf0
4,BBCWorld,Thu Mar 15 14:56:37 +0000 2018,0.0,0.521,0.479,-0.8225,Mariam Moustafa: Egyptian teen's Nottingham death sparks anger https://t.co/gSbOYqc4mN
5,BBCWorld,Thu Mar 15 14:56:37 +0000 2018,0.0,0.189,0.811,-0.1027,US imposes sanctions on 19 Russians https://t.co/b6JQJxaOay
6,BBCWorld,Thu Mar 15 14:26:17 +0000 2018,0.0,0.279,0.721,-0.4767,Kenyan nurse handed brain surgeon the wrong patient https://t.co/cKI6RehsTo
7,BBCWorld,Thu Mar 15 14:26:17 +0000 2018,0.0,0.0,1.0,0.0,Marmite maker to move to Netherlands https://t.co/fKe0wL37g1
8,BBCWorld,Thu Mar 15 14:26:17 +0000 2018,0.0,0.247,0.753,-0.3182,Russian aeroplane loses gold-silver bars on take-off https://t.co/NKS9ek1YKE
9,BBCWorld,Thu Mar 15 14:22:18 +0000 2018,0.0,0.0,1.0,0.0,Oklahoma mother will go to jail for marrying her daughter https://t.co/piSYepFblv
10,BBCWorld,Thu Mar 15 13:46:19 +0000 2018,0.119,0.104,0.777,0.0772,"Don't ""Let It Go"" - 'Elsa' from Frozen rescues Boston police van stuck in snow ❄️

https://t.co/reJZ5yUVAg https://t.co/GdsYLbfW5o"
11,BBCWorld,Thu Mar 15 13:20:09 +0000 2018,0.0,0.349,0.651,-0.8934,"RT @BBCBreaking: Ex-spy poisoning first offensive use of nerve agent in Europe since World War II - UK, US, France and Germany say https://…"
12,BBCWorld,Thu Mar 15 13:09:02 +0000 2018,0.0,0.533,0.467,-0.6908,Allies condemn chemical attack on ex-spy https://t.co/hBtlZtW9D1
13,BBCWorld,Thu Mar 15 13:00:33 +0000 2018,0.277,0.0,0.723,0.3182,'Elsa' from Frozen rescues police van https://t.co/HDNKRDyuPz
14,BBCWorld,Thu Mar 15 12:51:57 +0000 2018,0.0,0.426,0.574,-0.6369,Uzbek transport police banned from hiding behind trees https://t.co/H8lLQfihFd
15,BBCWorld,Thu Mar 15 12:47:19 +0000 2018,0.0,0.211,0.789,-0.34,Charleston church gunman Dylann Roof's sister in knife arrest https://t.co/3z6twpnuBh
16,BBCWorld,Thu Mar 15 12:46:21 +0000 2018,0.127,0.155,0.717,-0.1779,RT @BBCNewsGraphics: Why is there a war in Syria? https://t.co/CMQOdjQNzr Find out how a peaceful uprising against the president of Syria t…
17,BBCWorld,Thu Mar 15 12:34:49 +0000 2018,0.0,0.302,0.698,-0.5994,Syria war: Thousands flee Eastern Ghouta as army advances https://t.co/uHWOABTovg
18,BBCWorld,Thu Mar 15 12:13:47 +0000 2018,0.0,0.0,1.0,0.0,Pope Francis: Vatican doctors letter from former Pope Benedict https://t.co/uP1XljHH98
19,BBCWorld,Thu Mar 15 11:41:14 +0000 2018,0.062,0.0,0.938,0.1027,"RT @BBCNews: ""Frankly Russia should go away, it should shut up"" - UK Defence Secretary Gavin Williamson asked about Russia's response to it…"
20,BBCWorld,Thu Mar 15 11:37:30 +0000 2018,0.0,0.36,0.64,-0.6705,Rio city councillor Franco killed in drive-by shooting https://t.co/VZevOGVffw
21,BBCWorld,Thu Mar 15 11:33:24 +0000 2018,0.527,0.0,0.473,0.8316,Happiness report: Finland is world's 'happiest country' - UN https://t.co/SuMAScSJip
22,BBCWorld,Thu Mar 15 11:33:24 +0000 2018,0.0,0.0,1.0,0.0,Irish PM Varadkar set to meet US President Trump https://t.co/9ADcWqY2zm
23,BBCWorld,Thu Mar 15 11:24:50 +0000 2018,0.107,0.168,0.725,-0.3818,"RT @BBCNews: UK will invest £48m in new chemical weapons defence centre, to maintain UK's ""cutting edge"" in the field, Defence Secretary Ga…"
24,BBCWorld,Thu Mar 15 11:17:30 +0000 2018,0.064,0.114,0.822,-0.2732,"RT @BBCNews: ""The Kremlin is ripping up the international rule book,"" says UK Defence Secretary Gavin Williamson, undermining countries aro…"
25,BBCWorld,Thu Mar 15 11:06:51 +0000 2018,0.0,0.0,1.0,0.0,Rwanda bans Kigali mosques from using loudspeakers https://t.co/mxF8QyuDOl
26,BBCWorld,Thu Mar 15 11:06:51 +0000 2018,0.165,0.193,0.642,-0.0772,French baker disputes fine for opening every day https://t.co/v9H9EZJnEC
27,BBCWorld,Thu Mar 15 10:01:02 +0000 2018,0.0,0.271,0.729,-0.7717,RT @BBCBreaking: Russia will soon expel UK diplomats in retaliation for Britain's response to poisoning of ex-spy - Russian media https://t…
28,BBCWorld,Thu Mar 15 09:34:44 +0000 2018,0.222,0.251,0.526,-0.128,Japan Nobel winner Ei-ichi Negishi's wife found dead in US https://t.co/1Rd8ZwbCZl
29,BBCWorld,Thu Mar 15 09:34:44 +0000 2018,0.504,0.0,0.496,0.7269,India wild elephant saved in dramatic rescue https://t.co/HZvWtNwhiI
30,BBCWorld,Thu Mar 15 08:22:18 +0000 2018,0.0,0.163,0.837,-0.5719,"RT @BBCSteveR: Today's Russian papers react to UK sanctions: ""hot air"", ""May poisons UK-Russian relations"", ""The English woman spoils every…"
31,BBCWorld,Thu Mar 15 08:02:27 +0000 2018,0.0,0.0,1.0,0.0,RT @BBCNewsAsia: Thailand is rushing to contain the spread of rabies after a spike in cases across the country https://t.co/6mED3X88yL
32,BBCWorld,Thu Mar 15 07:39:11 +0000 2018,0.0,0.178,0.822,-0.5994,Police in the US are investigating the death of the wife of a Japanese Nobel Prize-winning chemist in Illinois https://t.co/FPpFun3Ggq
33,BBCWorld,Thu Mar 15 07:28:39 +0000 2018,0.0,0.0,1.0,0.0,Review as plastic found in bottled water https://t.co/t5IWuOb0KW
34,BBCWorld,Thu Mar 15 07:20:22 +0000 2018,0.0,0.132,0.868,-0.4404,"RT @BBCBreaking: Anglo-Dutch consumer goods giant Unilever, maker of Marmite and Dove soap, is to abandon its London HQ https://t.co/byDzOf…"
35,BBCWorld,Thu Mar 15 06:14:30 +0000 2018,0.167,0.245,0.588,-0.2023,Amazon Japan offices raided over anti-trust suspicions https://t.co/iEkbOP6o3G
36,BBCWorld,Thu Mar 15 06:14:30 +0000 2018,0.154,0.287,0.559,-0.4404,Financial crisis rules for banks eased by US Senate https://t.co/QBJbTCVYmV
37,BBCWorld,Thu Mar 15 05:43:30 +0000 2018,0.171,0.471,0.357,-0.6369,Lawsuit over Broadway play To Kill a Mockingbird https://t.co/tdSO5M8hdr
38,BBCWorld,Thu Mar 15 05:43:28 +0000 2018,0.204,0.0,0.796,0.3182,Perumal Murugan: India's 'dead' writer returns with searing novel https://t.co/ZJ2cf6KZ10
39,BBCWorld,Thu Mar 15 04:51:45 +0000 2018,0.0,0.313,0.687,-0.4767,Russian spy: White House backs UK decision to expel diplomats https://t.co/SrVoELrloS
40,BBCWorld,Thu Mar 15 04:42:46 +0000 2018,0.342,0.0,0.658,0.8718,"RT @bbcdavideades: #Finland tops this year's happiness index. Apparently high taxes, clean cold air and a hot sauna really does do the job!…"
41,BBCWorld,Thu Mar 15 04:10:51 +0000 2018,0.0,0.0,1.0,0.0,Pierce Brosnan says India mouth freshener brand 'cheated' him https://t.co/e3zYTsDq8R
42,BBCWorld,Thu Mar 15 03:35:24 +0000 2018,0.0,0.556,0.444,-0.8176,YouTube prankster jailed for shooting boyfriend dead https://t.co/HQtVM4fcsJ
43,BBCWorld,Thu Mar 15 03:35:00 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCNewsAsia: Heading to Bali this weekend?

You're in for a silent, internet-free weekend (oh no) https://t.co/WnNfjD5uOx"
44,BBCWorld,Thu Mar 15 03:02:56 +0000 2018,0.209,0.0,0.791,0.5719,RT @BBCNewsAsia: This 73-year-old Chinese backpacker may just inspire you to live your life https://t.co/lFaJylOzI2
45,BBCWorld,Thu Mar 15 02:17:05 +0000 2018,0.33,0.223,0.446,0.296,The German entrepreneurs celebrating their mistakes https://t.co/EM4kxfv5O7
46,BBCWorld,Thu Mar 15 02:17:05 +0000 2018,0.105,0.421,0.474,-0.7906,Letter from Africa: Why Nigeria's hate speech bill is a jokes killer https://t.co/9N6svG0DWA
47,BBCWorld,Thu Mar 15 02:12:07 +0000 2018,0.0,0.252,0.748,-0.4019,The trouble telling aid workers and jihadists apart https://t.co/KPWaf0CAdY
48,BBCWorld,Thu Mar 15 02:12:07 +0000 2018,0.0,0.394,0.606,-0.5994,Syria war: What brought it about? https://t.co/7pvrIm2MvH
49,BBCWorld,Thu Mar 15 01:59:18 +0000 2018,0.0,0.25,0.75,-0.7906,"RT @BBCNewsAsia: As the world mourns Prof Stephen Hawking, who has died aged 76, there has been a particular outpouring of emotion in China…"
50,BBCWorld,Thu Mar 15 01:57:48 +0000 2018,0.318,0.0,0.682,0.4215,The elderly backpacker who's inspiring China https://t.co/HG55A76bDW
51,BBCWorld,Thu Mar 15 01:04:16 +0000 2018,0.0,0.239,0.761,-0.296,How to stop birds smashing into windows https://t.co/Z6OoTPVec8
52,BBCWorld,Thu Mar 15 00:58:55 +0000 2018,0.583,0.0,0.417,0.7906,African women 'inspire comic book heroes' https://t.co/Eh3ylh30aT
53,BBCWorld,Thu Mar 15 00:49:13 +0000 2018,0.189,0.0,0.811,0.4215,From Syria to safety in Pakistan: 'We left children in Eastern Ghouta' https://t.co/IUMgdbiFA7
54,BBCWorld,Wed Mar 14 23:27:22 +0000 2018,0.0,0.0,1.0,0.0,The seven places where women earn more than men in US https://t.co/PKqHhCmWUI
55,BBCWorld,Wed Mar 14 22:29:24 +0000 2018,0.0,0.478,0.522,-0.6705,Libya migrants: Smuggling network arrest warrants issued https://t.co/nTMG5l7gao
